"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Travis Homer","SEA","RB73","2.1","10.8","0.0","0.9","4.6","0.0","0.0","1.8"
"Malik Taylor","GB","WR116","0.1","0.3","0.0","1.1","13.6","0.1","0.0","1.8"
"C.J. Board","NYG","WR117","0.1","0.5","0.0","1.5","17.8","0.0","0.0","1.8"
"Zay Jones","LV","WR118","0.0","0.0","0.0","1.2","12.7","0.1","0.0","1.8"
"AJ Dillon","GB","RB74","3.0","13.2","0.0","0.5","1.9","0.0","0.0","1.8"
"J.J. Taylor","NE","RB75","2.6","10.9","0.1","0.1","0.7","0.0","0.0","1.8"
"Jaeden Graham","ATL","TE51","0.0","0.0","0.0","0.8","11.6","0.1","0.0","1.8"
"Raheem Mostert","SF","RB76","3.3","15.4","0.0","1.2","3.4","0.0","0.1","1.7"
"Dontrell Hilliard","CLE","RB77","2.8","9.8","0.1","0.6","3.4","0.0","0.0","1.7"
"Cole Kmet","CHI","TE52","0.0","0.0","0.0","1.3","13.1","0.1","0.0","1.7"
"Foster Moreau","LV","TE53","0.0","0.0","0.0","1.3","14.2","0.1","0.0","1.7"
"Marvin Hall","DET","WR119","0.1","0.8","0.0","0.7","12.4","0.1","0.0","1.7"
"Jace Sternberger","GB","TE54","0.0","0.0","0.0","1.3","14.0","0.1","0.0","1.7"
"Darrius Shepherd","GB","WR120","0.1","0.2","0.0","1.2","14.6","0.0","0.0","1.7"
"MyCole Pruitt","TEN","TE55","0.0","0.0","0.0","1.0","10.5","0.1","0.0","1.6"
"Christian Blake","ATL","WR121","0.1","0.2","0.0","1.2","13.2","0.0","0.0","1.6"
"Demetrius Harris","CHI","TE56","0.0","0.0","0.0","1.2","11.5","0.1","0.0","1.6"
"Jason Witten","LV","TE57","0.0","0.0","0.0","1.3","11.1","0.1","0.0","1.6"
"Jason Huntley","PHI","RB78","1.8","7.1","0.0","0.9","5.2","0.0","0.0","1.6"
"Maxx Williams","ARI","TE58","0.0","0.0","0.0","0.8","9.5","0.1","0.0","1.6"
"Donald Parham Jr.","LAC","TE59","0.0","0.0","0.0","0.8","9.4","0.1","0.0","1.5"
"Byron Pringle","KC","WR122","0.0","0.2","0.0","1.0","12.4","0.0","0.0","1.5"
"T.J. Yeldon","BUF","RB79","2.0","7.8","0.0","0.9","5.5","0.0","0.0","1.5"
"Deonte Harris","NO","WR123","0.8","3.7","0.0","0.6","7.1","0.0","0.0","1.5"
"Noah Brown","DAL","WR124","0.0","0.0","0.0","1.1","11.8","0.0","0.0","1.5"
"Trent Taylor","SF","WR125","0.0","0.0","0.0","1.4","13.1","0.0","0.0","1.5"
"Hakeem Butler","PHI","WR126","0.0","0.0","0.0","1.0","10.3","0.1","0.0","1.5"
"Geoff Swaim","TEN","TE60","0.0","0.0","0.0","1.3","11.7","0.0","0.0","1.4"
