"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Harrison Bryant","CLE","TE41","0.0","0.0","0.0","1.3","13.6","0.1","0.0","1.9"
"Chad Beebe","MIN","WR106","0.1","0.3","0.0","1.2","15.3","0.1","0.0","1.9"
"Darwin Thompson","KC","RB71","5.8","14.0","0.0","2.2","4.3","0.0","0.1","1.9"
"Auden Tate","CIN","WR107","0.0","0.0","0.0","1.2","15.3","0.1","0.0","1.8"
"Richard Rodgers","PHI","TE42","0.0","0.0","0.0","1.4","14.6","0.1","0.0","1.8"
"Nick Boyle","BAL","TE43","0.0","0.0","0.0","1.5","13.5","0.1","0.0","1.8"
"Demetrius Harris","CHI","TE44","0.0","0.0","0.0","1.3","11.9","0.1","0.0","1.8"
"Malcolm Perry","MIA","WR108","0.0","0.2","0.0","0.8","11.3","0.1","0.0","1.8"
"Antonio Gandy-Golden","WAS","WR109","0.4","1.8","0.0","1.0","13.0","0.0","0.0","1.7"
"Kaden Smith","NYG","TE45","0.0","0.0","0.0","1.3","12.2","0.1","0.0","1.7"
"Byron Pringle","KC","WR110","0.0","0.1","0.0","1.0","12.9","0.1","0.0","1.7"
"Lynn Bowden Jr.","MIA","RB72","1.7","7.6","0.0","0.7","5.1","0.0","0.0","1.7"
"Jeremy Cox","DEN","RB73","0.0","9.3","0.1","0.5","3.2","0.0","0.0","1.7"
"LeSean McCoy","TB","RB74","2.1","5.8","0.0","1.1","7.1","0.0","0.0","1.7"
"Levine Toilolo","NYG","TE46","0.0","0.0","0.0","1.1","13.7","0.1","0.0","1.7"
"Dontrell Hilliard","CLE","RB75","2.4","7.3","0.1","1.0","6.1","0.0","0.0","1.6"
"Adam Shaheen","MIA","TE47","0.0","0.0","0.0","1.0","9.6","0.1","0.0","1.6"
"T.J. Yeldon","BUF","RB76","1.8","8.6","0.0","0.8","5.1","0.0","0.0","1.6"
"Salvon Ahmed","MIA","RB77","0.0","8.7","0.1","0.4","2.8","0.0","0.0","1.6"
"Maxx Williams","ARI","TE48","0.0","0.0","0.0","0.9","9.3","0.1","0.0","1.5"
"Jamal Agnew","DET","CB1","0.5","2.6","0.0","0.7","8.4","0.1","0.0","1.5"
"Lee Smith","BUF","TE49","0.0","0.0","0.0","1.2","9.2","0.1","0.0","1.5"
"Ty Johnson","NYJ","RB78","2.3","9.1","0.0","0.9","4.2","0.0","0.0","1.5"
"John Ross","CIN","WR111","0.1","0.8","0.0","0.8","12.1","0.0","0.0","1.5"
"Darrius Shepherd","GB","WR112","0.1","0.2","0.0","1.0","13.6","0.0","0.0","1.5"
"Ameer Abdullah","MIN","RB79","1.8","6.9","0.0","0.7","5.2","0.0","0.0","1.5"
"Pharaoh Brown","HOU","TE50","0.0","0.0","0.0","1.1","12.1","0.0","0.0","1.5"
"Malik Taylor","GB","WR113","0.0","0.2","0.0","0.9","11.4","0.1","0.0","1.5"
"Eno Benjamin","ARI","RB80","2.1","8.2","0.1","0.6","2.8","0.0","0.0","1.5"
"Marcedes Lewis","GB","TE51","0.0","0.0","0.0","0.9","9.0","0.1","0.0","1.5"
"Austin Mack","NYG","WR114","0.0","0.4","0.0","0.8","10.0","0.1","0.0","1.5"
"Christian Blake","ATL","WR115","0.1","0.3","0.0","1.1","13.2","0.0","0.0","1.5"
"JaMycal Hasty","SF","RB81","2.7","8.7","0.1","0.5","2.5","0.0","0.0","1.4"
"Hunter Bryant","DET","TE52","0.0","0.0","0.0","0.7","8.2","0.1","0.0","1.4"
"Jace Sternberger","GB","TE53","0.0","0.0","0.0","1.0","11.0","0.1","0.0","1.4"
"Darrell Daniels","ARI","TE54","0.0","0.0","0.0","0.9","10.3","0.1","0.0","1.4"
"Chris Manhertz","CAR","TE55","0.0","0.0","0.0","1.0","11.0","0.1","0.0","1.4"
"Brycen Hopkins","LAR","TE56","0.0","0.0","0.0","0.7","7.8","0.1","0.0","1.4"
"Kahale Warring","HOU","TE57","0.0","0.0","0.0","0.7","7.6","0.1","0.0","1.4"
"Jeremy Sprinkle","WAS","TE58","0.0","0.0","0.0","1.0","9.4","0.1","0.0","1.4"
"Noah Brown","DAL","WR116","0.0","0.0","0.0","1.0","11.2","0.0","0.0","1.4"
"Trent Taylor","SF","WR117","0.0","0.0","0.0","1.3","12.5","0.0","0.0","1.3"
"J.J. Taylor","NE","RB82","2.2","8.6","0.0","0.4","1.8","0.0","0.0","1.3"
"Daurice Fountain","IND","WR118","0.1","0.3","0.0","0.9","11.2","0.0","0.0","1.3"
"Corey Clement","PHI","RB83","2.1","6.6","0.0","0.8","4.7","0.0","0.0","1.3"
"Ted Ginn Jr.","CHI","WR119","0.0","0.3","0.0","0.8","10.3","0.0","0.0","1.3"
"Qadree Ollison","ATL","RB84","2.0","6.0","0.1","0.4","1.3","0.0","0.0","1.3"
"Farrod Green","IND","TE59","0.0","0.0","0.0","0.6","7.0","0.1","0.0","1.3"
"Denzel Mims","NYJ","WR120","0.0","0.0","0.0","0.8","10.0","0.1","0.0","1.3"
"Jaylen Samuels","PIT","RB85","2.7","5.7","0.0","1.1","6.5","0.0","0.0","1.3"
"Seth Roberts","CAR","WR121","0.0","0.0","0.0","1.0","11.3","0.0","0.0","1.3"
"Evan Baylis","ARI","TE60","0.0","0.0","0.0","0.7","6.9","0.1","0.0","1.3"
