UniquePlayer,MaddenPlayer,PerfMatch,PerfName,DKPointsName,Status
Bryan EdwardsWR15260876,Bryan EdwardsWR15260876,Bryan EdwardsWR15260876,Bryan Edwards,"Edwards, Bryan",
John Ross IIIWR15260869,John Ross IIIWR15260869,John RossWR15260869,John Ross,"Ross, John",
Tevin ColemanRB15260863,Tevin ColemanRB15260863,Tevin ColemanRB15260863,Tevin Coleman,"Coleman, Tevin",
Diontae JohnsonWR15260860,Diontae JohnsonWR15260860,Diontae JohnsonWR15260860,Diontae Johnson,"Johnson, Diontae",
Noah FantTE15260873,Noah FantTE15260873,Noah FantTE15260873,Noah Fant,"Fant, Noah",
LeSean McCoyRB15260886,,LeSean McCoyRB15260886,LeSean McCoy,"McCoy, LeSean",NoMatch
Danny EtlingQB15260881,Danny EtlingQB15260883,,,,NoMatch
Dallas GoedertTE15260862,Dallas GoedertTE15260862,Dallas GoedertTE15260862,Dallas Goedert,"Goedert, Dallas",
Jamaal WilliamsRB15260875,Jamaal WilliamsRB15260875,Jamaal WilliamsRB15260875,Jamaal Williams,"Williams, Jamaal",
Marquez Valdes-ScantlingWR15260875,Marquez Valdes-ScantlingWR15260875,Marquez Valdes-ScantlingWR15260875,Marquez Valdes-Scantling,"Valdes-Scantling, Marquez",
Olabisi JohnsonWR15260877,Olabisi JohnsonWR15260877,Olabisi JohnsonWR15260877,Olabisi Johnson,"Johnson, Olabisi",
Miles BoykinWR15260866,Miles BoykinWR15260866,Miles BoykinWR15260866,Miles Boykin,"Boykin, Miles",
Jake FrommQB15260861,Jake FrommQB15260861,,,,NoMatch
CeeDee LambWR15260870,CeeDee LambWR15260870,CeeDee LambWR15260870,CeeDee Lamb,"Lamb, CeeDee",
Jaylen SamuelsRB15260860,Jaylen SamuelsRB15260860,Jaylen SamuelsRB15260860,Jaylen Samuels,"Samuels, Jaylen",
Jason HuntleyRB15260862,Jason HuntleyRB15260874,Jason HuntleyRB15260862,Jason Huntley,"Huntley, Jason",
Josh RosenQB15260890,Josh RosenQB15260890,,,,NoMatch
Brian HoyerQB15260865,Brian HoyerQB15260865,,,,NoMatch
Brian LewerkeQB15260865,Brian LewerkeQB15260865,,,,NoMatch
Patrick LairdRB15260890,Patrick LairdRB15260890,Patrick LairdRB15260890,Patrick Laird,"Laird, Patrick",
Myles GaskinRB15260890,Myles GaskinRB15260890,Myles GaskinRB15260890,Myles Gaskin,"Gaskin, Myles",
